Date,L Income,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,L 2070,L 2075,G Fund,F Fund,C Fund,S Fund,I Fund
2026-08-26,31.1127,63.8609,19.6835,75.9757,21.1432,47.1137,24.8244,24.8212,24.8179,14.7089,12.8483,20.1611,20.9462,123.7071,117.9597,66.4354
2026-08-25,31.1145,63.8713,19.6877,75.9943,21.1489,47.1271,24.8307,24.8275,24.8242,14.7127,12.8516,20.1584,20.9755,123.7318,117.7925,66.4982
2026-08-24,31.0624,63.6861,19.6194,75.7081,21.0641,46.9275,24.7125,24.7093,24.7059,14.6425,12.7903,20.1557,20.8808,123.3312,117.5013,65.9706
2026-08-21,31.0897,63.8225,19.6727,75.9347,21.1322,47.0907,24.8216,24.8183,24.8150,14.7071,12.8467,20.1475,20.8404,123.6762,118.5706,66.3161
2026-08-20,31.0289,63.5847,19.5835,75.5610,21.0211,46.8269,24.6505,24.6473,24.6440,14.6058,12.7582,20.1448,20.8751,123.1350,117.5638,65.6397
2026-08-19,31.0765,63.7709,19.6536,75.8562,21.1090,47.0350,24.7777,24.7745,24.7712,14.6813,12.8241,20.1421,20.9407,124.1969,118.9512,65.4902
2026-08-18,31.0541,63.7041,19.6298,75.7571,21.0799,46.9677,24.7443,24.7411,24.7377,14.6614,12.8067,20.1394,20.8421,123.9253,118.6624,65.5124
2026-08-17,31.1409,64.0591,19.7642,76.3233,21.2487,47.3693,25.0033,25.0000,24.9966,14.8148,12.9408,20.1367,20.8237,124.7825,120.6396,66.4152
2026-08-14,31.1598,64.1515,19.8005,76.4783,21.2954,47.4808,25.0724,25.0691,25.0657,14.8558,12.9766,20.1286,20.8619,125.4211,120.9799,66.3709
2026-08-13,31.1626,64.1621,19.8046,76.4964,21.3009,47.4934,25.0756,25.0724,25.0690,14.8578,12.9783,20.1259,20.9184,125.6188,120.7421,66.2866
2026-08-12,31.1021,63.9393,19.7218,76.1496,21.1980,47.2503,24.9270,24.9238,24.9204,14.7696,12.9013,20.1232,20.8523,124.8034,120.1488,65.9162
2026-08-11,31.0584,63.7761,19.6610,75.8952,21.1225,47.0717,24.8147,24.8115,24.8081,14.7031,12.8432,20.1205,20.8376,124.4725,119.3336,65.4874
2026-08-10,31.0627,63.8031,19.6719,75.9419,21.1366,47.1058,24.8387,24.8355,24.8321,14.7173,12.8556,20.1178,20.8191,124.8709,118.9517,65.4379
2026-08-07,31.0708,63.8476,19.6898,76.0195,21.1601,47.1618,24.8691,24.8659,24.8626,14.7354,12.8714,20.1096,20.8908,124.9314,119.3969,65.5282
2026-08-06,30.9956,63.5636,19.5838,75.5753,21.0282,46.8496,24.6742,24.6710,24.6677,14.6199,12.7705,20.1069,20.8490,124.1579,117.3501,65.0703
2026-08-05,31.0202,63.6597,19.6200,75.7282,21.0738,46.9573,24.7376,24.7344,24.7311,14.6575,12.8034,20.1042,20.9121,124.3768,117.7779,65.2913
2026-08-04,31.0238,63.6830,19.6295,75.7687,21.0860,46.9869,24.7581,24.7549,24.7516,14.6697,12.8140,20.1015,20.8985,124.5855,118.7782,65.0801
2026-08-03,30.8654,63.0802,19.4045,74.8264,20.8063,46.3253,24.3460,24.3428,24.3395,14.4253,12.6006,20.0988,20.8127,122.3935,116.0970,64.2093
2026-07-31,30.7572,62.6825,19.2573,74.2118,20.6242,45.8956,24.0788,24.0756,24.0723,14.2670,12.4622,20.0914,20.7644,120.6031,113.9868,64.0123
2026-07-30,30.7135,62.5106,19.1930,73.9435,20.5446,45.7066,23.9544,23.9513,23.9480,14.1934,12.3979,20.0889,20.8240,119.7571,114.4461,63.6309
2026-07-29,30.5357,61.8222,18.9357,72.8660,20.2246,44.9492,23.4757,23.4727,23.4695,13.9097,12.1502,20.0864,20.8114,117.8005,112.8644,61.8421
